Date,Open,High,Low,Close,Adj Close,Volume
6/27/2017,145.009995,146.160004,143.619995,143.729996,138.136642,24761900
6/28/2017,144.490005,146.110001,143.160004,145.830002,140.154953,22082400
6/29/2017,144.710007,145.130005,142.279999,143.679993,138.088608,31499400
6/30/2017,144.449997,144.960007,143.779999,144.020004,138.415375,23024100
7/3/2017,144.880005,145.300003,143.100006,143.5,137.915588,14277800
7/5/2017,143.690002,144.789993,142.720001,144.089996,138.482651,21569600
7/6/2017,143.020004,143.5,142.410004,142.729996,137.175583,24128800
7/7/2017,142.899994,144.75,142.899994,144.179993,138.569153,19201700
7/10/2017,144.110001,145.949997,143.369995,145.059998,139.414871,21090600
7/11/2017,144.729996,145.850006,144.380005,145.529999,139.866608,19781800
7/12/2017,145.869995,146.179993,144.820007,145.740005,140.068436,24884500
7/13/2017,145.5,148.490005,145.440002,147.770004,142.01947,25199400
7/14/2017,147.970001,149.330002,147.330002,149.039993,143.240021,20132100
7/17/2017,148.820007,150.899994,148.570007,149.559998,143.739761,23793500
7/18/2017,149.199997,150.130005,148.669998,150.080002,144.239548,17868800
7/19/2017,150.479996,151.419998,149.949997,151.020004,145.14296,20923000
7/20/2017,151.5,151.740005,150.190002,150.339996,144.48941,17243700
7/21/2017,149.990005,150.440002,148.880005,150.270004,144.422134,26252600
7/24/2017,150.580002,152.440002,149.899994,152.089996,146.171341,21493200
7/25/2017,151.800003,153.839996,151.800003,152.740005,146.796021,18853900
7/26/2017,153.350006,153.929993,153.059998,153.460007,147.488022,15781000
7/27/2017,153.75,153.990005,147.300003,150.559998,144.700867,32476300
7/28/2017,149.889999,150.229996,149.190002,149.5,143.682114,17213700
7/31/2017,149.899994,150.330002,148.130005,148.729996,142.942078,19845900
8/1/2017,149.100006,150.220001,148.410004,150.050003,144.210724,35368600
8/2/2017,159.279999,159.75,156.160004,157.139999,151.024796,69936800
8/3/2017,157.050003,157.210007,155.020004,155.570007,149.5159,27097300
8/4/2017,156.070007,157.399994,155.690002,156.389999,150.303986,20559900
8/7/2017,157.059998,158.919998,156.669998,158.809998,152.629822,21870300
8/8/2017,158.600006,161.830002,158.270004,160.080002,153.850388,36205900
8/9/2017,159.259995,161.270004,159.110001,161.059998,154.792236,26131500
8/10/2017,159.899994,160,154.630005,155.320007,149.861832,40804300
8/11/2017,156.600006,158.570007,156.070007,157.479996,151.945938,26257100
8/14/2017,159.320007,160.210007,158.75,159.850006,154.232635,22122700
8/15/2017,160.660004,162.199997,160.139999,161.600006,155.921127,29465500
8/16/2017,161.940002,162.509995,160.149994,160.949997,155.293991,27671600
8/17/2017,160.520004,160.710007,157.839996,157.860001,152.312561,27940600
8/18/2017,157.860001,159.5,156.720001,157.5,151.96524,27428100
8/21/2017,157.5,157.889999,155.110001,157.210007,151.685425,26368500
8/22/2017,158.229996,160,158.020004,159.779999,154.165115,21604600
8/23/2017,159.070007,160.470001,158.880005,159.979996,154.358063,19399100
8/24/2017,160.429993,160.740005,158.550003,159.270004,153.673019,19818900
8/25/2017,159.649994,160.559998,159.270004,159.860001,154.242294,25480100
8/28/2017,160.139999,162,159.929993,161.470001,155.795715,25966000
8/29/2017,160.100006,163.119995,160,162.910004,157.185104,29516900
8/30/2017,163.800003,163.889999,162.610001,163.350006,157.609665,27269600
8/31/2017,163.639999,164.520004,163.479996,164,158.236786,26785100
9/1/2017,164.800003,164.940002,163.630005,164.050003,158.285065,16591100
9/5/2017,163.75,164.25,160.559998,162.080002,156.384277,29468500
9/6/2017,162.710007,162.990005,160.520004,161.910004,156.220215,21651700
9/7/2017,162.089996,162.240005,160.360001,161.259995,155.593094,21928500
9/8/2017,160.860001,161.149994,158.529999,158.630005,153.055527,28611500
9/11/2017,160.5,162.050003,159.889999,161.5,155.824661,31580800
9/12/2017,162.610001,163.960007,158.770004,160.860001,155.207169,71714000
9/13/2017,159.869995,159.960007,157.910004,159.649994,154.039673,44907400
9/14/2017,158.990005,159.399994,158.089996,158.279999,152.717804,23760700
9/15/2017,158.470001,160.970001,158,159.880005,154.261597,49114600
9/18/2017,160.110001,160.5,158,158.669998,153.094116,28269400
9/19/2017,159.509995,159.770004,158.440002,158.729996,153.151978,20810600
9/20/2017,157.899994,158.259995,153.830002,156.070007,150.58548,52951400
9/21/2017,155.800003,155.800003,152.75,153.389999,147.999649,37511700
9/22/2017,151.539993,152.270004,150.559998,151.889999,146.552353,46645400
9/25/2017,149.990005,151.830002,149.160004,150.550003,145.25946,44387300
9/26/2017,151.779999,153.919998,151.690002,153.139999,147.758423,36660000
9/27/2017,153.800003,154.720001,153.539993,154.229996,148.81012,25504200
9/28/2017,153.889999,154.279999,152.699997,153.279999,147.893524,22005500
9/29/2017,153.210007,154.130005,152,154.119995,148.703979,26299800
